IDENTIFIER: Reference ID,FORMULA,PROPERTY: Microstructure,PROPERTY: Processing method,PROPERTY: BCC/FCC/other,Grain_Size,PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: Calculated Density (g/cm$^3$),Hardness,PROPERTY: Type of test,PROPERTY: Test temperature ($^\circ$C),Yield_Strength,Tensile_Strength,PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),PROPERTY: Exp. Young modulus (GPa),PROPERTY: Calculated Young modulus (GPa),PROPERTY: O content (wppm),PROPERTY: N content (wppm),PROPERTY: C content (wppm)
151,Al0.25 Cr0.5 Fe1 Mn0.625 Ni0.375,B2+BCC,CAST,other,20.0,,7.2,476.0,C,400.0,943.0,1004.0,,,,,,,
151,Al0.35 Cr0.5 Fe1 Mn0.625 Ni0.375,B2+BCC,CAST,other,20.0,,6.9,476.0,C,400.0,833.0,1004.0,,,,,,,
151,Cr0.5 Fe1 Mn0.625 Ni0.375,FCC+BCC,CAST,other,20.0,,7.8,476.0,C,600.0,115.0,1004.0,,,,,,,
151,Al0.05 Cr0.5 Fe1 Mn0.625 Ni0.375,FCC+BCC,CAST,other,20.0,,7.6,476.0,C,600.0,155.0,1004.0,,,,,,,
151,Al0.15 Cr0.5 Fe1 Mn0.625 Ni0.375,FCC+BCC,CAST,other,20.0,,7.4,476.0,C,600.0,272.0,1004.0,,,,,,,
151,Al0.25 Cr0.5 Fe1 Mn0.625 Ni0.375,B2+BCC,CAST,other,20.0,,7.2,476.0,C,600.0,359.0,1004.0,,,,,,,
151,Al0.35 Cr0.5 Fe1 Mn0.625 Ni0.375,B2+BCC,CAST,other,20.0,,6.9,476.0,C,600.0,326.0,1004.0,,,,,,,
198,Co1 Cr1 Fe1 Mn1 Ni1,FCC,WROUGHT,FCC,4.4,,8.0,476.0,T,25.0,370.0,670.0,56.0,,,220.0,,,
174,Co0.2 Cr0.2 Fe1 Mn0.6,FCC+HCP,ANNEAL,other,45.0,,7.8,476.0,T,25.0,250.0,730.0,50.0,,,,,,
174,Co0.2 Cr0.2 Fe1 Mn0.6,FCC+HCP,WROUGHT,other,4.5,,7.8,476.0,T,25.0,330.0,870.0,75.0,,,,,,
174,Co0.2 Cr0.2 Fe1 Mn0.6,FCC+HCP,WROUGHT,other,6.0,,7.8,476.0,T,25.0,280.0,800.0,65.0,,,,,,
174,Co0.2 Cr0.2 Fe1 Mn0.6,FCC+HCP,WROUGHT,other,15.0,,7.8,476.0,T,25.0,350.0,830.0,63.0,,,,,,
176,Co0.2 Cr0.2 Fe1 Mn0.6,FCC+HCP,WROUGHT,other,6.5,,7.8,476.0,T,25.0,298.0,1400.0,45.0,,,,,,
176,Co0.2 Cr0.2 Fe1 Mn0.6,FCC+HCP,WROUGHT,other,5.2,,7.8,476.0,T,25.0,400.0,1200.0,42.0,,,,,,
183,Al0.304 Co1 Cr1 Fe1 Ni1,FCC+B2,,other,0.7,,7.6,476.0,T,25.0,860.0,1050.0,48.0,,,,,,
183,Al0.304 Co1 Cr1 Fe1 Ni1,FCC+B2,,other,2.7,,7.6,476.0,T,25.0,690.0,930.0,51.0,,,,,,
183,Al0.304 Co1 Cr1 Fe1 Ni1,FCC+B2,,other,3.8,,7.6,476.0,T,25.0,550.0,800.0,64.0,,,,,,
183,Al0.304 Co1 Cr1 Fe1 Ni1,FCC,,FCC,53.0,,7.6,476.0,T,25.0,260.0,620.0,87.0,,,210.0,,,
183,Al0.304 Co1 Cr1 Fe1 Ni1,FCC+BCC,WROUGHT,other,20.0,,7.6,476.0,,,822.0,1004.0,,,,,,,
179,Al0.304 Co1 Cr1 Fe1 Ni1,FCC,WROUGHT,FCC,20.0,,7.6,476.0,,,822.0,1004.0,,,,210.0,,,
179,Al0.304 Co1 Cr1 Fe1 Ni1,FCC+L12,WROUGHT,other,20.0,,7.6,476.0,,,822.0,1004.0,,,,,,,
178,Al0.304 Co1 Cr1 Fe1 Ni1,FCC,WROUGHT,FCC,144.0,,7.6,476.0,T,25.0,159.0,410.0,65.0,,,210.0,,,
178,Al0.304 Co1 Cr1 Fe1 Ni1,FCC+B2,WROUGHT,other,144.0,,7.6,476.0,T,25.0,215.0,520.0,43.0,,,,,,
178,Al0.304 Co1 Cr1 Fe1 Ni1,FCC+L12,WROUGHT,other,144.0,,7.6,476.0,T,25.0,285.0,540.0,55.0,,,,,,
178,Al0.304 Co1 Cr1 Fe1 Ni1,FCC,WROUGHT,FCC,23.0,,7.6,476.0,T,25.0,263.0,589.0,60.0,,,210.0,,,
178,Al0.304 Co1 Cr1 Fe1 Ni1,FCC+L12+B2,WROUGHT,other,23.0,,7.6,476.0,T,25.0,490.0,840.0,45.0,,,,,,
184,Al0.304 Co1 Cr1 Fe1 Ni1,FCC+BCC,ANNEAL,other,20.0,,7.6,476.0,,,822.0,1004.0,,,,,,,
185,Al0.304 Co1 Cr1 Fe1 Ni1,FCC+L12,CAST,other,20.0,,7.6,476.0,T,25.0,175.0,335.0,58.0,,,,,,
185,Al0.304 Co1 Cr1 Fe1 Ni1,FCC+L12,ANNEAL,other,20.0,,7.6,476.0,T,25.0,305.0,525.0,44.0,,,,,,
185,Al0.304 Co1 Cr1 Fe1 Ni1,FCC+B2,ANNEAL,other,20.0,,7.6,476.0,T,25.0,280.0,570.0,44.0,,,,,,
186,Al0.304 Co1 Cr1 Fe1 Ni1,FCC,ANNEAL,FCC,20.0,,7.6,476.0,,,822.0,1004.0,,,,210.0,,,
187,Al0.304 Co1 Cr1 Fe1 Ni1,FCC+B2,ANNEAL,other,20.0,,7.6,476.0,,,822.0,1004.0,,,,,,,
190,Al1 Co1 Cr1 Fe1 Ni1,BCC+B2,CAST,other,20.0,,6.7,476.0,T,700.0,395.0,400.0,1.0,,,,,,
188,Al1 Co1 Cr1 Fe1 Ni1,BCC+B2,CAST,other,20.0,,6.7,476.0,C,25.0,1380.0,1004.0,10.0,,,,,,
188,Al1 Co1 Cr1 Fe1 Ni1,BCC+B2+FCC+Sec.,ANNEAL,other,20.0,,6.7,476.0,C,25.0,1430.0,1004.0,1.6,,,,,,
188,Al1 Co1 Cr1 Fe1 Ni1,BCC+B2+FCC,ANNEAL,other,20.0,,6.7,476.0,C,25.0,1690.0,1004.0,2.7,,,,,,
188,Al1 Co1 Cr1 Fe1 Ni1,BCC+B2+FCC,ANNEAL,other,20.0,,6.7,476.0,C,25.0,1220.0,1004.0,13.0,,,,,,
188,Al1 Co1 Cr1 Fe1 Ni1,BCC+B2+FCC,ANNEAL,other,20.0,,6.7,476.0,C,25.0,1450.0,1004.0,20.0,,,,,,
189,Al1 Co1 Cr1 Fe1 Ni1,FCC+BCC,ANNEAL,other,20.0,,6.7,476.0,T,25.0,900.0,935.0,0.8,,,,,,
191,Al0.515 Cr0.515 Fe1 Ni1,FCC+BCC+B2,CAST,other,20.0,,6.9,476.0,T,25.0,796.0,1437.0,15.7,,,,,,
192,Al0.511 Co0.511 Cr0.511 Fe0.511 Ni1,L12+B2,,other,20.0,,7.0,476.0,T,25.0,545.0,1030.0,16.5,,,,,,
192,Al0.465 Co0.465 Cr0.465 Fe0.465 Ni1,L12+B2,,other,20.0,,7.1,476.0,T,25.0,545.0,1050.0,16.5,,,,,,
192,Al0.451 Co0.451 Cr0.451 Fe0.451 Ni1,L12+B2,,other,20.0,,7.1,476.0,T,25.0,545.0,1110.0,20.0,,,,,,
192,Al0.511 Co0.511 Cr0.511 Fe0.511 Ni1,,,other,20.0,,7.0,476.0,T,-70.0,580.0,1034.0,10.5,,,,,,
192,Al0.465 Co0.465 Cr0.465 Fe0.465 Ni1,,,other,20.0,,7.1,476.0,T,-70.0,595.0,1168.0,15.8,,,,,,
192,Al0.451 Co0.451 Cr0.451 Fe0.451 Ni1,,,other,20.0,,7.1,476.0,T,-70.0,570.0,1143.0,18.0,,,,,,
192,Al0.511 Co0.511 Cr0.511 Fe0.511 Ni1,,,other,20.0,,7.0,476.0,T,-192.0,700.0,1000.0,4.0,,,,,,
192,Al0.465 Co0.465 Cr0.465 Fe0.465 Ni1,,,other,20.0,,7.1,476.0,T,-192.0,700.0,1000.0,7.0,,,,,,
192,Al0.451 Co0.451 Cr0.451 Fe0.451 Ni1,,,other,20.0,,7.1,476.0,T,-192.0,700.0,1000.0,9.0,,,,,,
195,Al0.343 Co0.514 Cr0.514 Fe1 Ni0.514,BCC+B2,CAST,other,20.0,,7.2,476.0,T,25.0,866.0,1223.0,7.9,,,,,,
195,Al0.343 Co0.514 Cr0.514 Fe1 Ni0.514,,CAST,other,20.0,,7.2,476.0,T,650.0,400.0,468.0,6.3,,,,,,
195,Al0.343 Co0.514 Cr0.514 Fe1 Ni0.514,,CAST,other,20.0,,7.2,476.0,T,700.0,220.0,340.0,5.4,,,,,,
195,Al0.343 Co0.514 Cr0.514 Fe1 Ni0.514,,CAST,other,20.0,,7.2,476.0,C,25.0,1166.0,1004.0,30.2,,,,,,
199,Co1 Cr0.429 Fe0.571 Mo0.286 Ni0.571,FCC,CAST,FCC,20.0,,8.6,476.0,T,25.0,350.0,720.0,21.9,,,234.0,,,
199,Co1 Cr0.429 Fe0.571 Mo0.286 Ni0.571,FCC+Sec.,WROUGHT,other,20.0,,8.6,476.0,T,25.0,1311.0,1410.0,12.1,,,,,,
199,Co1 Cr0.429 Fe0.571 Mo0.286 Ni0.571,FCC+Sec.,WROUGHT,other,20.0,,8.6,476.0,T,25.0,1212.0,1360.0,14.9,,,,,,
199,Co1 Cr0.429 Fe0.571 Mo0.286 Ni0.571,FCC+Sec.,WROUGHT,other,20.0,,8.6,476.0,T,25.0,1028.0,1249.0,18.3,,,,,,
199,Co1 Cr0.429 Fe0.571 Mo0.286 Ni0.571,FCC+Sec.,WROUGHT,other,20.0,,8.6,476.0,T,25.0,879.0,1194.0,25.4,,,,,,
199,Co1 Cr0.429 Fe0.571 Mo0.286 Ni0.571,FCC+Sec.,WROUGHT,other,20.0,,8.6,476.0,T,25.0,799.0,1127.0,28.2,,,,,,
199,Co1 Cr0.429 Fe0.571 Mo0.286 Ni0.571,FCC,WROUGHT,FCC,20.0,,8.6,476.0,T,25.0,350.0,918.0,62.4,,,234.0,,,
197,Co1 Cr1 Fe1 Ni1,FCC,CAST,FCC,20.0,,8.2,476.0,T,25.0,155.0,472.4,58.9,,,226.0,,,
197,Co1 Cr1 Fe1 Mo0.083 Ni1,,CAST,other,20.0,,8.2,476.0,T,25.0,198.8,479.0,51.1,,,,,,
197,Co1 Cr1 Fe1 Mo0.208 Ni1,,CAST,other,20.0,,8.3,476.0,T,25.0,254.7,589.6,55.1,,,,,,
197,Co1 Cr1 Fe1 Mo0.304 Ni1,FCC+Sec.,CAST,other,20.0,,8.4,476.0,T,25.0,305.3,709.7,49.3,,,,,,
197,Co1 Cr1 Fe1 Mo0.304 Ni1,FCC+Sec.,WROUGHT,other,3.0,,8.4,476.0,T,25.0,815.5,1186.5,18.9,,,,,,
197,Co1 Cr1 Fe1 Mo0.304 Ni1,FCC+Sec.,WROUGHT,other,3.1,,8.4,476.0,T,25.0,646.7,1042.0,32.5,,,,,,
197,Co1 Cr1 Fe1 Mo0.304 Ni1,FCC+Sec.,WROUGHT,other,1.6,,8.4,476.0,T,25.0,683.7,1066.6,30.4,,,,,,
177,Co1 Cr1 Fe1 Mn1 Ni1,FCC,WROUGHT,FCC,13.0,,8.0,476.0,T,25.0,243.0,558.0,50.0,,,220.0,,,
177,C0.02 Co1 Cr1 Fe1 Mn1 Ni1,FCC+Sec.,WROUGHT,other,8.0,,8.0,476.0,T,25.0,446.0,723.0,15.0,,,,,,
